date,Q,S,classifier,shot_1,shot_2,shot_3,shot_4,shot_5,shot_6,shot_7,shot_8,shot_9,shot_10
2024-02-29_14-32,whole,whole,ncm_max,0.9,0.9442666666666666,0.9569333333333334,0.9659999999999996,0.9721333333333332,0.9751999999999998,0.9754666666666664,0.9777333333333332,0.9770666666666666,0.9792
2024-02-29_14-32,whole,whole,ncm_sum,0.9,0.9442666666666666,0.9569333333333334,0.9659999999999996,0.9721333333333332,0.9751999999999998,0.9754666666666664,0.9777333333333332,0.9770666666666666,0.9792
2024-02-29_14-32,whole,whole,ncm_mean,0.9,0.9442666666666666,0.9569333333333334,0.9659999999999996,0.9721333333333332,0.9751999999999998,0.9754666666666664,0.9777333333333332,0.9770666666666666,0.9792
,,,,,,,,,,,,,
2024-02-29_14-38,whole,filtered,ncm_max,0.9081333333333332,0.9465333333333332,0.9582666666666668,0.9648,0.9685333333333332,0.9710666666666664,0.9726666666666663,0.9735999999999996,0.9734666666666664,0.9735999999999998
2024-02-29_14-38,whole,filtered,ncm_sum,0.9081333333333332,0.9465333333333332,0.9582666666666668,0.9648,0.9685333333333332,0.9710666666666664,0.9726666666666663,0.9735999999999996,0.9734666666666664,0.9735999999999998
2024-02-29_14-38,whole,filtered,ncm_mean,0.9081333333333332,0.9465333333333332,0.9582666666666668,0.9648,0.9685333333333332,0.9710666666666664,0.9726666666666663,0.9735999999999996,0.9734666666666664,0.9735999999999998
,,,,,,,,,,,,,
2024-02-29_14-46,filtered,whole,ncm_max,0.9129333333333334,0.9564,0.9674666666666666,0.9735999999999998,0.9772,0.9798666666666666,0.9808,0.9828,0.9818666666666668,0.9828
2024-02-29_14-46,filtered,whole,ncm_sum,0.9128,0.9556,0.9674666666666666,0.9730666666666667,0.9771999999999998,0.9798666666666666,0.9808,0.9829333333333332,0.9816,0.9834666666666666
2024-02-29_14-46,filtered,whole,ncm_mean,0.9136,0.9556,0.9670666666666664,0.9730666666666667,0.9769333333333332,0.9798666666666666,0.9805333333333331,0.9821333333333334,0.9814666666666666,0.9826666666666664
,,,,,,,,,,,,,
2024-02-29_14-55,filtered,filtered,ncm_max,0.926,0.9612,0.9712,0.9753333333333332,0.9796,0.9802666666666664,0.9814666666666666,0.9829333333333332,0.9828,0.9829333333333332
2024-02-29_14-55,filtered,filtered,ncm_sum,0.9266666666666664,0.9612,0.9712,0.9753333333333336,0.9793333333333332,0.9803999999999998,0.9814666666666666,0.9838666666666664,0.9834666666666664,0.9837333333333332
2024-02-29_14-55,filtered,filtered,ncm_mean,0.9254666666666668,0.9608,0.9704,0.9749333333333334,0.9795999999999998,0.9801333333333332,0.9812,0.9822666666666664,0.982,0.9829333333333332
,,,,,,,,,,,,,
2024-03-01_04-12,hierarchical,filtered,ncm_max,0.9141333333333332,0.9510666666666668,0.9645333333333334,0.9672,0.9741333333333332,0.9749333333333332,0.9776,0.9794666666666666,0.9790666666666664,0.9790666666666666
2024-03-01_04-12,hierarchical,filtered,ncm_sum,0.9109333333333332,0.9473333333333334,0.9617333333333332,0.9673333333333332,0.9704,0.9728,0.9751999999999996,0.9762666666666664,0.9763999999999998,0.9766666666666666
2024-03-01_04-12,hierarchical,filtered,ncm_mean,0.9136,0.9494666666666668,0.9629333333333334,0.9647999999999998,0.9726666666666668,0.9738666666666664,0.9770666666666664,0.9785333333333333,0.9774666666666666,0.9785333333333333
,,,,,,,,,,,,,
2024-03-01_15-57,AMG,filtered,ncm_max,0.9146666666666665,0.9493333333333333,0.9614666666666666,0.9672,0.9723999999999998,0.9737333333333332,0.9763999999999998,0.9766666666666666,0.9765333333333334,0.9777333333333332
2024-03-01_15-57,AMG,filtered,ncm_sum,0.9113333333333334,0.9458666666666667,0.9604,0.9643999999999999,0.9682666666666664,0.9701333333333332,0.9725333333333331,0.9739999999999998,0.9734666666666665,0.9747999999999999
2024-03-01_15-57,AMG,filtered,ncm_mean,0.9106666666666665,0.9475999999999999,0.96,0.9643999999999998,0.9699999999999999,0.9725333333333331,0.9738666666666665,0.975333333333333,0.9749333333333332,0.9757333333333332
